"","X","street_address","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other","statefp","countyfp","countyns","affgeoid","geoid","name","namelsad","stusps","state_name","lsad","aland","awater","state_abbr","jurisdiction_type","geometry"
"26",26,"100 Magellan Blvd",37.3423480083857,76165.5697674419,954,295608,189578,61953,7785,26965,9327,"13","051","01694477","0500000US13051","13051","Chatham","Chatham County","GA","Georgia","06",1121772804,509852786,"GA","state",c(-81.197834, 32.196733)
"27",27,"100 May Creek Dr",41.0679166666667,70670.0734797297,1200,609846,420019,76516,18509,77665,17137,"13","039","01671316","0500000US13039","13039","Camden","Camden County","GA","Georgia","06",1632622505,392508756,"GA","state",c(-81.66288, 30.790803)
"28",28,"100 Moonlight Ln",39.5206148282098,76351.4825688073,553,306713,194329,60629,14537,27802,9416,"13","051","01694477","0500000US13051","13051","Chatham","Chatham County","GA","Georgia","06",1121772804,509852786,"GA","state",c(-81.282416, 32.080367)
"29",29,"100 N Oaks Dr",39.9752336448598,58684.2289719626,214,72492,52618,4132,1473,13046,1223,"13","313","00353513","0500000US13313","13313","Whitfield","Whitfield County","GA","Georgia","06",752248663,1579031,"GA","state",c(-84.957829, 34.804997)
"30",30,"100 Oak Tree Rd",39.704347826087,72994.7282608696,92,53013,32132,8437,4030,6991,1423,"13","043","00342852","0500000US13043","13043","Candler","Candler County","GA","Georgia","06",629520841,15018189,"GA","state",c(-82.069751, 32.371898)
"31",31,"100 Old Quitman Rd",37.7157728706625,52880.6230031949,317,80892,53909,14220,1113,9557,2093,"13","075","00343878","0500000US13075","13075","Cook","Cook County","GA","Georgia","06",591684405,12308449,"GA","state",c(-83.418917, 31.122627)
"32",32,"100 S Heron St",40.3,50000,4,1341,0,1306,0,31,4,"13","021","01672039","0500000US13021","13021","Bibb","Bibb County","GA","Georgia","06",645898113,14305197,"GA","state",c(-83.678999, 32.814338)
"33",33,"100 Sara Lee Dr",41.5222222222222,62719.3810741688,405,202199,130382,43320,7729,16401,4367,"13","237","00347246","0500000US13237","13237","Putnam","Putnam County","GA","Georgia","06",892721731,41451859,"GA","state",c(-83.393055, 33.348028)
"34",34,"100 Us 129",42.1604938271605,47821.5432098765,81,16603,11661,2015,10,2346,571,"13","101","00348092","0500000US13101","13101","Echols","Echols County","GA","Georgia","06",1088849471,809587,"GA","state",c(-83.028332, 30.703227)
"35",35,"1000 1st Ave",37.5721238938053,43830.2972972973,226,63142,39046,12613,526,10253,704,"13","071","00343936","0500000US13071","13071","Colquitt","Colquitt County","GA","Georgia","06",1416818773,24869747,"GA","state",c(-83.77649, 31.178388)
"36",36,"1000 Athens St",35.0330827067669,51304.6541353383,133,68340,36870,13483,1120,15683,1184,"13","139","01686953","0500000US13139","13139","Hall","Hall County","GA","Georgia","06",1017833590,93989123,"GA","state",c(-83.807657, 34.292567)
